"File","Line","Kind","Decl"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\TEMP_minimal.v","151","Axiom","truth_lemma_from_forces_ax : forall (w:can_world) (p:form), forces w p -> In_set (proj1_sig w) p."
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\TEMP_minimal.v","155","Axiom","canonical_eval_to_forces_ax : forall (w:can_world) (p:form),"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\TEMP_minimal.v","157","Axiom","canonical_forces_to_eval_ax : forall (w:can_world) (p:form),"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Sketch.v","23","(*","Propositional axioms and basic helpers are declared earlier in the file. *)"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Sketch.v","40","(*","--- Close small remaining helper by declaring as an axiom --- *)"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Sketch.v","41","Axiom","prov_imp_from_neg_l :"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Sketch.v","115","Axiom","truth_lemma_can : forall ? (Hmax: maximal ?) ?,"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Sketch.v","120","opposite","order. This lemma simply flips the ? produced by the axiom so both"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Sketch.v","153","(*","Small Prop-only helper lemmas to discharge simple axioms. *)"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Sketch.v","188","extends","the Box-projections of ? and contains ?. Kept as an axiom"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Sketch.v","190","Axiom","exists_maximal_extending_boxes_with_formula :"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","29","Axiom","closure : ? -> ? -> Prop."
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","30","Axiom","unfolding : ? -> ? -> Prop."
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","87","provide","a thin axiom pointing to the expected behavior so the skeleton compiles while"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","89","Axiom","maximal_not_Bot_admit : forall ?, Maximal ? -> ~ In_set ? Bot."
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","91","(*","Compatibility axiom: forces are independent of which maximal witness is picked. *)"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","92","Axiom","forces_indep_witness :"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","162","(*","Propositional helper axioms used by the skeleton (standard Hilbert schemata) *)"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","163","Axiom","ax_PL_and1 : forall p q, Prov (Impl (And p q) p)."
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","164","Axiom","ax_PL_and2 : forall p q, Prov (Impl (And p q) q)."
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","171","Admitted.",
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","291","(*","Small axiom: maximal sets are prime for disjunctions (classical property)."
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","293","Axiom","maximal_or_prime : forall ? p q, maximal ? -> In_set ? (Or p q) -> In_set ? p \/ In_set ? q."
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","362","(*","Negation: both directions using the admitted canonical truth lemma and IH *)"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","383","(*","Stub Dia/Box cases ? leave them admitted for now. *)"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","384","(*","Full backward for implication (uses Lindenbaum/successor argument) - keep admitted as scaffold) *)"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","397","(*","truth_lemma_can_set relates In_set and forces at the canonical witness (admitted in sketch). *)"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","405","(*","Stub Dia/Box cases ? leave them admitted for now. *)"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","431","+","(* Otherwise use the successor axiom to build ? extending boxes of ? containing ?p, then"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","455","(*","Build a successor ? containing p using the successor axiom and use it as the witness *)"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","470","(*","Final skeleton: state the full lemma and leave it Admitted for now so you can iterate."
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","503","(*","Non-modal helpers that use the current canonical-truth axiom."
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","504","These","reduce admitted stubs and are safe while `truth_lemma_can` remains"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","505","axiomatic","in the sketch. Replace hook-names below if your project uses"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","548","membership","from ? to ? and finally to forces via the canonical-truth axiom. *)"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","553","(*","Now use the canonical-truth axiom at ? to obtain forces at the (definitionally equal) world u. *)"
"C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","566","(*","Use the successor axiom to obtain a maximal ? with the required property. *)"
